"","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive"
"519",0,2,1,0,1,1,1,2,0,5
"520",0,6,0,0,1,0,1,3,0,7
"521",1,4,1,0,3,1,3,7,2,6
"522",1,3,0,2,1,0,1,4,1,6
"523",0,1,0,0,0,0,0,3,1,5
"524",0,1,0,0,0,0,0,3,1,5
"525",0,1,0,0,0,0,0,3,1,5
"526",0,5,0,0,3,0,1,4,1,6
"527",0,2,0,0,0,0,0,5,0,7
"528",2,3,0,2,2,0,1,3,2,4
"529",0,5,0,1,2,0,1,3,1,9
"530",0,4,0,0,1,0,1,3,1,6
"531",1,1,1,1,0,0,0,4,1,5
"532",0,1,0,0,1,0,0,2,0,4
"533",0,3,0,0,0,0,0,2,1,6
"534",0,5,0,0,4,0,0,2,0,8
"535",0,5,0,0,3,0,0,5,0,9
"536",1,2,0,1,1,0,2,2,1,5
"537",0,1,0,0,0,0,0,4,0,4
"538",0,2,0,0,1,0,1,3,0,3
"539",0,1,0,0,0,0,0,1,0,3
"540",0,1,0,0,1,0,0,6,0,7
"541",0,2,0,0,1,0,0,5,0,6
"542",0,2,0,0,0,0,0,3,0,4
"543",0,6,0,0,3,0,2,3,1,8
"544",0,2,0,0,1,0,0,3,1,8
"545",0,2,0,1,1,0,0,2,0,3
"546",0,3,0,0,2,0,1,5,0,8
"547",0,3,0,0,2,0,0,4,0,8
"548",0,1,0,0,0,0,0,3,0,4
"549",0,1,0,0,0,0,0,4,0,6
"550",0,4,0,0,1,0,0,4,1,7
"551",0,3,0,0,2,0,0,6,0,8
"552",1,3,1,0,0,0,0,4,2,9
"553",0,4,0,0,1,0,1,2,0,4
"554",0,3,0,0,1,0,1,3,0,8
"555",0,2,0,0,0,0,0,3,0,4
"556",0,1,0,1,1,1,0,2,1,6
"557",0,5,0,0,1,0,1,3,0,8
"558",0,1,0,0,0,1,0,4,1,6
"559",0,2,0,0,1,0,1,3,0,4
"560",1,2,1,0,0,0,0,4,1,6
"561",0,1,0,0,0,0,0,7,0,9
"562",0,1,0,1,0,1,0,1,1,1
"563",0,1,0,0,1,0,0,2,0,7
"564",0,1,0,0,0,0,0,3,0,2
"565",0,2,0,0,0,0,0,3,0,4
"566",0,2,0,0,0,0,0,3,0,4
"567",0,1,0,0,0,0,0,4,0,4
"568",1,1,0,0,0,0,1,2,1,2
"569",0,2,0,1,1,0,1,3,1,5
"570",1,2,0,0,0,0,0,3,1,4
"571",0,1,0,0,1,0,0,3,0,4
"572",0,1,0,0,0,0,0,1,0,1
"573",0,2,0,0,2,0,0,7,0,9
"574",0,2,0,0,1,0,0,3,0,5
"575",0,1,0,0,0,0,1,2,0,3
"576",0,5,0,1,2,0,1,2,0,6
"577",0,2,0,1,1,1,1,2,1,5
"578",0,1,0,0,0,0,0,3,0,3
"579",1,2,0,1,1,0,2,3,1,8
"580",0,3,0,0,2,0,2,4,0,6
"581",0,4,0,0,1,0,1,2,0,5
"582",0,1,0,1,0,0,0,2,0,5
"583",0,2,0,0,1,0,1,3,0,5
"584",0,3,0,0,2,0,0,4,0,6
"585",0,0,0,0,1,0,0,1,0,4
"586",0,1,0,0,1,0,0,1,0,6
"587",0,4,0,0,3,0,1,3,0,5
"588",0,1,0,0,1,0,0,1,0,5
"589",0,4,0,0,2,0,1,4,0,8
"590",0,2,0,0,1,0,1,3,0,5
"591",0,2,0,0,1,0,1,1,0,3
"592",0,1,0,0,0,0,0,2,0,4
"593",1,4,0,1,3,0,1,4,2,9
"594",0,5,1,0,5,1,3,9,0,11
"595",0,4,0,0,3,0,1,3,0,8
"596",0,2,0,0,1,0,0,2,0,4
"597",0,2,0,0,1,0,0,1,0,3
"598",0,3,0,0,1,0,0,4,0,8
"599",0,7,0,0,6,1,0,6,1,10
"600",0,2,0,0,0,0,0,3,0,4
