"","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive"
"627",0,5,0,2,2,1,1,10,4,16
"628",0,14,1,1,5,2,5,18,2,31
"629",3,20,2,2,13,5,8,26,10,53
"630",3,9,2,3,7,2,1,22,7,26
"631",3,9,1,5,7,3,2,32,13,59
"632",1,12,0,2,7,2,6,21,6,45
"633",4,14,3,6,13,5,1,32,9,49
"634",0,12,0,3,8,0,2,17,3,38
"635",5,17,4,4,11,6,1,23,9,43
"636",3,15,1,4,11,5,6,26,9,42
"637",7,15,3,7,11,4,4,31,15,44
"638",4,14,3,3,10,4,2,24,11,35
"639",8,10,6,7,9,8,2,26,17,45
"640",2,6,0,3,7,4,2,14,6,30
"641",2,11,1,4,9,3,2,20,8,31
"642",1,12,0,2,7,2,6,21,6,45
"643",3,13,3,5,8,4,1,22,7,34
"644",1,6,1,4,1,1,3,12,6,20
"645",5,17,5,9,13,7,2,41,19,61
"646",1,8,0,2,7,2,3,13,4,32
"647",2,17,2,5,11,2,2,27,7,51
"648",3,17,3,4,12,2,3,26,9,50
"649",2,14,2,3,11,4,3,26,6,38
"650",4,16,3,6,12,6,1,37,9,53
"651",3,21,3,5,10,3,2,28,7,41
"652",2,17,2,5,11,2,2,28,7,48
"653",3,21,1,2,13,4,6,35,8,57
"654",2,17,1,5,13,1,4,29,6,60
"655",2,12,0,3,9,2,4,16,4,33
"656",2,16,2,5,13,3,5,33,6,48
"657",2,17,2,5,11,2,2,28,7,48
"658",2,11,2,3,8,2,1,20,5,33
"659",1,11,0,0,4,2,1,23,5,36
"660",4,20,3,4,11,4,0,28,10,55
"661",2,10,2,3,8,2,1,20,5,33
"662",1,13,0,3,5,2,1,26,8,38
"663",2,10,2,3,8,2,1,21,5,32
"664",2,11,2,2,8,2,0,25,5,42
"665",1,9,1,2,8,2,2,14,3,31
"666",2,10,2,3,8,2,1,20,5,33
"667",0,10,1,0,7,1,2,16,3,34
"668",5,17,4,4,11,6,1,23,9,43
"669",3,19,2,4,12,3,3,36,9,49
"670",2,23,0,6,18,3,10,33,9,58
"671",6,18,2,5,11,4,3,31,11,48
"672",2,14,2,5,11,3,2,21,6,37
"673",2,17,2,5,11,2,2,27,7,48
"674",3,13,3,3,7,3,1,27,8,37
"675",1,20,2,4,12,2,6,31,3,49
"676",2,12,2,2,10,2,1,25,6,36
"677",0,6,1,1,3,2,2,17,4,23
"678",2,10,2,3,8,2,1,20,5,33
"679",1,16,0,2,11,2,7,26,5,59
"680",5,16,3,5,7,4,3,29,8,41
"681",2,10,2,3,8,2,1,21,5,33
"682",3,14,3,2,9,2,0,25,7,44
"683",0,4,0,0,1,1,0,10,3,21
"684",0,12,0,3,8,0,2,17,3,38
"685",2,12,0,5,6,5,4,21,8,40
"686",2,15,2,3,9,3,0,24,8,41
"687",1,12,0,2,7,2,6,21,6,45
"688",4,13,1,4,8,0,2,26,8,39
"689",3,16,0,2,9,3,3,29,5,46
"690",3,12,3,4,8,3,1,28,7,42
"691",4,11,3,4,11,3,3,32,13,49
"692",2,6,2,5,6,3,0,19,7,28
"693",3,8,1,2,6,3,1,21,5,45
"694",1,9,0,3,5,4,2,23,10,44
"695",1,13,1,3,9,2,5,22,8,30
"696",1,12,0,2,7,2,6,21,6,45
"697",1,12,1,1,6,2,0,12,3,34
"698",3,13,3,3,7,3,1,27,8,37
"699",2,10,1,2,5,3,1,21,7,27
"700",4,14,3,3,10,4,2,24,11,35
"701",0,4,0,1,3,0,1,10,1,18
"702",6,19,3,5,9,4,3,37,11,49
"703",2,6,2,5,6,3,0,19,7,28
"704",0,5,0,1,5,0,1,10,1,20
"705",6,11,1,8,6,2,4,18,9,33
"706",4,7,0,6,7,3,0,26,9,40
"707",3,12,2,3,7,3,2,26,7,35
"708",0,10,0,2,8,2,3,19,5,40
"709",1,8,0,0,3,3,2,15,3,31
"710",4,18,3,4,13,3,2,32,11,48
"711",2,10,2,3,8,2,1,20,5,33
"712",1,10,0,4,7,1,2,21,2,34
"713",1,6,0,4,6,2,3,25,5,36
"714",5,20,2,5,14,8,7,34,9,60
"715",3,15,0,2,8,3,2,19,6,34
"716",0,12,0,3,8,0,2,17,3,38
"717",3,17,1,3,9,2,4,24,10,45
"718",1,6,0,1,4,3,2,18,5,28
"719",7,17,3,5,13,5,4,40,16,64
"720",2,11,1,4,9,3,2,20,8,31
"721",2,10,2,3,8,2,1,21,5,33
"722",2,6,2,5,6,3,0,19,7,28
"723",0,13,1,0,11,2,4,20,1,34
"724",2,11,1,4,9,3,2,20,8,31
"725",3,13,3,5,9,5,1,31,11,49
"726",0,12,0,3,8,0,2,17,3,38
"727",5,14,3,4,11,4,3,25,10,43
"728",1,25,0,3,20,2,8,36,9,69
